Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Sales,Receptionist,,26000,0,,Florida,Tampa,2-4 years,1 year or less,College degree,Woman,White
45-54,Health care,IT Architect,,162000,25000,,Texas,Austin,31-40 years,21-30 years,College degree,Man,Asian or Asian American
35-44,Computing or Tech,Solutions Architect,,133000,18000,,Colorado,Denver,11-20 years,11-20 years,Some college,Man,White
35-44,Social Work,Clinician,,57000,100,,Massachusetts,Boston,8-10 years,5-7 years,Master's degree,Man,White
35-44,Recruitment or HR,Talent operations associate,I work in a support center for HR issues,51000,4000,,Texas,Plano,5-7 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Senior Data Scientist,,175000,,,New York,New York,5-7 years,2-4 years,PhD,Man,White
35-44,Business or Consulting,Senior Editor,Environmental Consulting is the industry,76668,3000,,California,Sacramento,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Ecology,Field Technician II,Field ecologists managing a team of 10,54000,,,Colorado,Boulder,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Law,Associate,,125000,10000,,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,Health care,Clinical manager,,102000,5000,,Massachusetts,Boston,8-10 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Software Engineer 2 Lead,I do both technical work and manage an employee,93000,10000,Bonus is dependent on components performance and my performance,Massachusetts,Boston,8-10 years,2-4 years,Master's degree,Woman,White
45-54,Computing or Tech,Program Manager III,Like a project manager but with a portfolio of projects,136000,,contractor,Colorado,Denver Metro Area,11-20 years,8-10 years,College degree,Woman,"Black or African American, Middle Eastern or Northern African, Native American or Alaska Native, White"
25-34,Computing or Tech,Software Engineer,,72000,0,,California,Sacramento,5-7 years,1 year or less,College degree,Non-binary,White
25-34,Computing or Tech,Software Engineer,,127500,,,California,San Francisco,5-7 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Veterinary,Medical Clinic Director,Veterinary technician managing the medical program for the local humane society,47000,,,Vermont,South Burlington,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Program Manager,,90410,,,California,Oakland,11-20 years,11-20 years,College degree,Woman,White
