Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Business Services,Representative,Payroll Specialist,50000,,USD,,,United States of America,California,Glendale,11-20 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Computing or Tech,Senior software engineer,,160000,,USD,,,United States of America,California,Oakland,8-10 years,8-10 years,College degree,Man,Middle Eastern or Northern African
35-44,Transport or Logistics,Administrative Assistant,,43000,0,USD,,,United States of America,Alaska,Small Town,11-20 years,2-4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Applications Engineer,,106193,7000,USD,,,United States of America,Colorado,Fort Collins,5-7 years,2-4 years,PhD,Woman,White
25-34,Engineering or Manufacturing,Engineering Specialist,Project Engineering,105000,15000,USD,,Does not include benefits such as 401k matching and pension,United States of America,North Carolina,Durham,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
45-54,Computing or Tech,Project Manager,Finance Systems user Acceptance Testing,175000,30000,USD,,I also get Restricted Stock Units,United States of America,Texas,Austin,21-30 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Research Analyst,Institutional research and planning for a college,62000,,USD,,,United States of America,Minnesota,Minneapolis,2-4 years,2-4 years,Master's degree,Non-binary,White
55-64,Recruitment or HR,VP HR Consulting,,120000,,USD,,"discretionary annual bonus, 1-15% of salary, based on profit and other factors",United States of America,South Carolina,Columbia,31-40 years,31-40 years,College degree,Woman,White
25-34,Nonprofits,Global People Operations Specialist,,47736,0,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Government and Public Administration,Recreation & Community Services Supervisor (aka Leslie Knope),,73000,0,USD,,,United States of America,California,Los Angeles,21-30 years,21-30 years,College degree,Woman,Native American or Alaska Native
25-34,Computing or Tech,Data Engineer,,154000,,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Engineering or Manufacturing,Senior IT Program Manager,,187000,25000,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,Master's degree,Woman,White
